Crop,Season,Area-1966-67,Area-1967-68,Area-1968-69,Area-1969-70,Area-1970-71,Area-1971-72,Area-1972-73,Area-1973-74,Area-1974-75,Area-1975-76,Area-1976-77,Area-1977-78,Area-1978-79,Area-1979-80,Area-1980-81,Area-1981-82,Area-1982-83,Area-1983-84,Area-1984-85,Area-1985-86,Area-1986-87,Area-1987-88,Area-1988-89,Area-1989-90,Area-1990-91,Area-1991-92,Area-1992-93,Area-1993-94,Area-1994-95,Area-1995-96,Area-1996-97,Area-1997-98,Area-1998-99,Area-1999-00,Area-2000-01,Area-2001-02,Area-2002-03,Area-2003-04,Area-2004-05,Area-2005-06,Area-2006-07,Area-2007-08,Area-2008-09,Area-2009-10,Area-2010-11,Area-2011-12,Area-2012-13,Area-2013-14,Area-2014-15,Area-2015-16,Area-2016-17,Area-2017-18,Area-2018-19,Area-2019-20,Area-2020-21,Area-2021-22,Area-2022-23,Area-2023-24,Area-2024-25,Area-2025-26,Production-1966-67,Production-1967-68,Production-1968-69,Production-1969-70,Production-1970-71,Production-1971-72,Production-1972-73,Production-1973-74,Production-1974-75,Production-1975-76,Production-1976-77,Production-1977-78,Production-1978-79,Production-1979-80,Production-1980-81,Production-1981-82,Production-1982-83,Production-1983-84,Production-1984-85,Production-1985-86,Production-1986-87,Production-1987-88,Production-1988-89,Production-1989-90,Production-1990-91,Production-1991-92,Production-1992-93,Production-1993-94,Production-1994-95,Production-1995-96,Production-1996-97,Production-1997-98,Production-1998-99,Production-1999-00,Production-2000-01,Production-2001-02,Production-2002-03,Production-2003-04,Production-2004-05,Production-2005-06,Production-2006-07,Production-2007-08,Production-2008-09,Production-2009-10,Production-2010-11,Production-2011-12,Production-2012-13,Production-2013-14,Production-2014-15,Production-2015-16,Production-2016-17,Production-2017-18,Production-2018-19,Production-2019-20,Production-2020-21,Production-2021-22,Production-2022-23,Production-2023-24,Production-2024-25,Production-2025-26,Yield-1966-67,Yield-1967-68,Yield-1968-69,Yield-1969-70,Yield-1970-71,Yield-1971-72,Yield-1972-73,Yield-1973-74,Yield-1974-75,Yield-1975-76,Yield-1976-77,Yield-1977-78,Yield-1978-79,Yield-1979-80,Yield-1980-81,Yield-1981-82,Yield-1982-83,Yield-1983-84,Yield-1984-85,Yield-1985-86,Yield-1986-87,Yield-1987-88,Yield-1988-89,Yield-1989-90,Yield-1990-91,Yield-1991-92,Yield-1992-93,Yield-1993-94,Yield-1994-95,Yield-1995-96,Yield-1996-97,Yield-1997-98,Yield-1998-99,Yield-1999-00,Yield-2000-01,Yield-2001-02,Yield-2002-03,Yield-2003-04,Yield-2004-05,Yield-2005-06,Yield-2006-07,Yield-2007-08,Yield-2008-09,Yield-2009-10,Yield-2010-11,Yield-2011-12,Yield-2012-13,Yield-2013-14,Yield-2014-15,Yield-2015-16,Yield-2016-17,Yield-2017-18,Yield-2018-19,Yield-2019-20,Yield-2020-21,Yield-2021-22,Yield-2022-23,Yield-2023-24,Yield-2024-25,Yield-2025-26
Rice,Kharif,33.93,34.91,35.31,35.82,35.95,36.09,35.08,36.49,35.96,37.44,37.11,38.42,38.42,37.6,38.44,38.89,36.41,38.95,39.17,39.29,38.44,35.85,38.94,39.29,39.7,39.59,38.9,39.14,39.44,39.44,39.79,39.82,40.46,40.95,40.7,40.62,38.04,39.23,38.36,39.34,39.6,39.47,40.81,37.6,38.02,40.12,38.91,39.45,39.83,39.66,39.85,39.35,39.96,39.01,40.36,41.04,40.4,40.73,43.47,44.56,28.62,35.31,37.13,37.59,39.56,39.99,36.32,40.9,35.93,44.74,39.27,48.95,49.34,38.49,50.09,49.24,43.16,55.05,53.78,59.52,53.56,49.05,63.38,65.88,66.32,66.37,65.24,70.72,72.6,67.88,63.56,72.53,72.72,77.48,72.78,80.52,63.08,78.62,72.23,78.27,80.17,82.7,84.95,75.91,80.61,92.74,92.36,91.5,91.39,91.41,96.3,97.14,102.04,102.28,105.21,111,110.51,113.26,122.77,123.93,843,1011,1052,1050,1100,1108,1036,1121,999,1195,1058,1274,1284,1024,1303,1266,1185,1413,1373,1515,1393,1368,1627,1677,1670,1676,1677,1807,1841,1721,1597,1821,1798,1892,1788,1982,1658,2004,1883,1990,2024,2095,2082,2019,2120,2311,2373,2319,2295,2305,2417,2469,2553,2622,2607,2705,2735,2780,2825,2781
Rice,Rabi,1.32,1.52,1.66,1.85,1.64,1.67,1.61,1.8,1.93,2.03,1.4,1.87,2.06,1.82,1.71,1.82,1.85,2.29,1.99,1.9,2.73,2.96,2.79,2.87,2.99,3.05,2.87,3.4,3.37,3.4,3.65,3.62,4.35,4.21,4.01,4.28,3.14,3.36,3.54,4.32,4.21,4.44,4.73,4.32,4.84,3.88,3.84,4.69,4.28,3.84,4.15,4.42,4.19,4.65,5.41,5.24,4.33,4.08,4.47,4.59,1.82,2.3,2.63,2.84,2.67,3.08,2.92,3.15,3.65,4,2.65,3.72,4.44,3.84,3.54,4,3.95,5.05,4.55,4.43,7,7.81,7.11,7.69,7.97,8.31,7.62,9.57,9.21,9.1,9.42,10.01,13.36,12.2,12.2,12.82,8.74,9.91,10.9,13.52,13.18,13.99,14.23,13.18,15.36,12.56,12.87,15.15,14.09,13,13.4,15.62,14.44,16.59,19.16,18.47,15,14.6,16.13,16.72,1378,1508,1586,1533,1630,1841,1811,1750,1892,1964,1888,1995,2151,2116,2071,2204,2135,2203,2289,2329,2563,2640,2548,2678,2671,2720,2653,2815,2731,2678,2583,2765,3073,2897,3042,2992,2783,2947,3077,3127,3130,3149,3010,3053,3171,3235,3353,3232,3291,3382,3230,3531,3444,3569,3541,3525,3467,3582,3606,3644
