Year,Country,Area,Production,Yield
2010,Japan,1.643,10.692,6507.6
2011,China,30.593,204.549,6686.2
2011,India,44.968,162.151,3606.0
2011,Japan,1.611,10.707,6646.2
2012,China,30.737,208.233,6774.7
2012,India,42.797,157.383,3677.4
2012,Japan,1.616,11.091,6863.2
2013,China,30.98,207.875,6710.0
2013,India,43.289,156.555,3616.5
2013,Japan,1.621,11.236,6931.5
2014,China,31.036,211.341,6809.5
2014,India,44.516,159.811,3590.0
2014,Japan,1.609,11.231,6980.1
2015,China,31.036,213.724,6886.3
2015,India,43.938,158.255,3601.8
2015,Japan,1.589,10.925,6875.4
2016,China,31.02,212.682,6856.3
2016,India,43.688,163.947,3752.6
2016,Japan,1.57,10.934,6964.3
2017,China,31.022,214.43,6912.2
2017,India,43.497,165.796,3811.7
2017,Japan,1.557,10.777,6921.6
2018,China,30.461,214.079,7028.0
2018,India,44.389,176.494,3976.1
2018,Japan,1.55,10.606,6841.3
2019,China,29.96,211.405,7056.2
2019,India,43.205,175.072,4052.1
2019,Japan,1.542,10.54,6834.5
2020,China,30.342,213.611,7040.2
2020,India,45.007,182.703,4059.4
2020,Japan,1.534,10.476,6831.5
2021,China,30.145,214.404,7112.4
2021,India,46.449,195.241,4203.3
2021,Japan,1.519,10.616,6987.6
2022,China,29.689,210.071,7075.8
2022,India,45.643,193.473,4238.8
2022,Japan,1.498,10.451,6979.0
2023,China,29.172,208.064,7132.4
2023,India,48.163,207.754,4313.5
2023,Japan,1.478,10.136,6856.5
2024,China,29.257,209.173,7149.5
2024,India,50.512,217.868,4313.2
2024,Japan,1.458,10.142,6956.1
